,Label,Id_high,cluster_high,degree_high,betweenness_high,closeness_high,eigenvector_high,abundance_high,Id_low,cluster_low,degree_low,betweenness_low,closeness_low,eigenvector_low,abundance_low,Id_pibd,cluster_pibd,degree_pibd,betweenness_pibd,closeness_pibd,eigenvector_pibd,abundance_pibd,phylum
91,Intestinimonas,92.0,I,0.0159574468085106,0.0,0.532062167861471,0.148494619243199,173.0,99.0,0,0.0,0.0,0.0,0.0,41.0,,,,,,,,Bacillota_A_368345
8,1_Clostridia_258483(C),93.0,0,0.0,0.0,0.0,0.0,138.0,,,,,,,,,,,,,,,Bacillota_A_368345
4,1_CAG-138(F),94.0,III,0.0053191489361702,0.0,0.33522098239069,0.0007053980399607,90.0,,,,,,,,,,,,,,,Bacillota_A_368345
17,1_QAKW01(F),95.0,I,0.0106382978723404,0.0,0.503910169711014,0.110842782506752,73.0,,,,,,,,,,,,,,,Bacillota_A_368345
53,Desulfovibrio_446353,96.0,III,0.0106382978723404,0.0208333333333333,0.421054468706878,0.0069699183130965,256.0,,,,,,,,,,,,,,,Desulfobacterota_G_459543
126,Ruminococcus_C_58660,97.0,VII,0.0106382978723404,0.0059210526315789,0.45405572795376,0.003998990244077,206.0,100.0,III,0.0053191489361702,0.0,0.426363596134106,0.0163345052524381,191.0,79.0,IV,0.0106382978723404,0.0,0.419984430604313,0.058223181770856,222.0,Bacillota_A_368345
55,Dialister_37762,98.0,V,0.0,0.0,0.0,0.0,862.0,81.0,0,0.0,0.0,0.0,0.0,337.0,78.0,I,0.0212765957446809,0.0,0.53635782034398,0.378651482113429,2042.0,Bacillota_C
129,SFLA01,99.0,VIII,0.0053191489361702,0.0,0.4473564127528,0.0056168212691233,146.0,,,,,,,,,,,,,,,Bacillota_A_368345
14,1_Mitochondria(F),100.0,IV,0.0053191489361702,0.0,0.373129263725564,6.14632766503199e-06,27.0,97.0,II,0.0053191489361702,0.0,0.373731198155881,0.0181902879933709,90.0,,,,,,,,Pseudomonadota
52,Coprococcus_A_187866,101.0,II,0.0159574468085106,0.0,0.51058396130196,0.0001283913327194,103.0,,,,,,,,,,,,,,,Bacillota_A_368345
